ID,Self,Assigned,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
1,D2,D1,4,5,5,5,4,4,4,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5
2,D2,D1,5,4,5,4,4,4,4,4,5,5,4,4,5,5,3,4,5,3,5,4,5,5,5
3,D3,D1,2,2,3,1,1,2,3,3,4,2,3,4,3,1,3,4,4,4,2,3,2,2,2
4,D3,D1,5,4,4,4,4,3,4,4,3,4,4,3,5,5,3,5,4,5,4,4,5,4,4
5,D2,D2,4,4,5,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
6,D2,D2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,D3,D2,5,5,4,3,4,3,4,5,5,5,4,3,5,5,4,3,5,4,5,4,5,4,5
8,D3,D2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5
9,D3,D2,5,3,5,5,5,4,4,4,5,5,5,5,5,5,5,1,2,4,4,4,4,4,5
10,D1,D3,5,3,5,4,5,5,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,3,4
11,D2,D3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,4
12,D3,D3,5,4,5,4,4,5,5,5,5,4,4,3,4,3,4,3,4,4,5,4,4,3,4
13,D3,D3,5,5,5,4,4,4,5,4,4,5,5,2,5,5,4,4,4,4,4,4,4,4,4
14,D3,D3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,D3,D3,3,3,5,4,4,5,3,4,5,5,4,5,5,5,4,5,4,4,4,4,4,4,5
16,D1,D4,5,4,3,5,3,3,5,5,5,4,3,3,5,5,5,4,4,4,5,4,4,2,4
17,D2,D4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,4,4,4,5
18,D2,D4,5,4,5,5,5,5,4,4,5,4,5,4,5,5,5,4,4,3,4,4,4,3,5
19,D3,D4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,4,5,4,5,4,4
20,D4,D4,5,5,5,5,5,4,4,4,5,5,4,5,5,4,4,5,4,5,4,4,3,4,4
21,D4,D4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,Supervisor,Supervisor,5,5,4,5,5,5,5,4,4,4,3,4,5,5,4,5,5,5,4,4,4,,
23,Supervisor,Supervisor,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,5,5,5,5,4,5,,
24,Supervisor,Supervisor,5,5,5,5,4,5,5,5,5,5,5,3,5,5,2,5,4,5,5,5,5,,
25,Supervisor,Supervisor,5,4,4,5,2,3,3,4,3,4,3,3,3,4,3,4,3,4,4,4,3,,
